Player;Team;Wins;Losses;KDA;Kill;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Shanghai_Result
Polarity.DkPhobos;Virtus.pro;3;6;2.4;3;4.78;8.44;121.67;2.89;343;383;3;2;EU;11
Polarity.Lil;Virtus.pro;3;6;2.12;2.78;5.56;9;55.44;1.22;266;310;4;2;EU;11
VP.Fng;Virtus.pro;3;6;2.1;1.89;5.56;9.78;71.56;2.22;274;287;5;2;EU;11
Cuy Golden :v;Elite Wolves PERU;3;4;3.18;7.43;4;5.29;377.29;14.57;596;510;1;0;AM;0
i w o ';Elite Wolves PERU;3;4;3.15;6;3.71;5.71;260.14;5.71;507;446;2;0;AM;0
caca;Elite Wolves PERU;3;4;2.69;2.14;3.71;7.86;49;3;268;241;3;0;AM;0
NoT.SmAsH;Elite Wolves PERU;3;4;2.02;3.71;5.86;8.14;206.71;5.86;404;398;4;0;AM;0
THIS GENTE;Elite Wolves PERU;3;4;1.24;2;7.14;6.86;33.14;1.29;241;214;5;0;AM;0
Raven;TNC Pro Team;3;5;2.78;4.5;4.63;8.38;165.25;11.25;422;428;1;1;SEA;0
Sam H;TNC Pro Team;3;5;2.73;4.25;5.5;10.75;143.88;5.25;409;442;2;1;SEA;0
Teehee;TNC Pro Team;3;5;2.44;7.38;5.63;6.38;201.25;13;493;505;3;1;SEA;0
Eyyou;TNC Pro Team;3;5;2.13;4;6.75;10.38;111.13;2.63;367;362;4;1;SEA;0
Tempest;TNC Pro Team;3;5;1.57;2.13;6.75;8.5;37;2.25;249;261;5;1;SEA;0
CDEC.ShiKi;CDEC Gaming;2;5;3.68;6;4;8.71;217;16.14;450;475;2;2;CN;16
LGD.Agressif;CDEC Gaming;2;5;2.68;5.71;5.43;8.86;302.29;11.86;521;522;1;2;CN;16
CDEC.Q;CDEC Gaming;2;5;2.59;3.86;4.86;8.71;98.43;1.29;296;300;3;2;CN;16
CDEC.garder;CDEC Gaming;2;5;2.1;2.86;5.57;8.86;62.57;1.71;271;278;4;2;CN;16
CDEC.Y.Xz;CDEC Gaming;2;5;1.74;1.86;5.43;7.57;194.57;8.14;379;405;5;2;CN;16
uuu9;TongFu|;2;6;3.5;6.13;3.5;6.13;179.88;13.88;464;435;1;0;CN;0
TongFu.Lin;TongFu|;2;6;3.09;4.63;4;7.75;206.13;16.25;475;477;2;0;CN;0
lpc;TongFu|;2;6;2;2.5;4.88;7.25;62.38;1.25;271;263;3;0;CN;0
TongFu.Faith;TongFu|;2;6;1.98;2.63;5.25;7.75;175.88;1.75;391;375;4;0;CN;0
kabu;TongFu|;2;6;1.9;1.63;5;7.88;28.13;1.13;237;242;5;0;CN;0
Yuno;Team FanTuan;2;6;2.79;5.63;4.13;5.88;350.38;17.13;523;492;1;1;CN;0
