Player;Team;Wins;Losses;KDA;Kills;Death;Assists;LH;DN;GPM;XPM;Position;Inv_Status;Region;Tournament_Result;Changed Teams;Total_Games;New_Team
CDEC.Y.Victoria;CDEC.Youth;3;6;2,34;2,56;5,22;9,67;40,67;1,11;264;296;4;1;CN;0;1;9;LGD-GAMING
CDEC.Darkrai;CDEC.Youth;3;6;1,61;2,78;6,33;7,44;32,44;0,78;237;246;5;1;CN;0;1;9;CDEC Gaming
coL.Chessie;compLexity Gaming;12;11;3,68;5,09;3,65;8,35;236,74;10,13;540;506;1;1;AM;0;1;23;None
Alliance.Limmp;compLexity Gaming;12;11;3,7;5,91;3,65;7,61;237,78;11,17;529;495;2;1;AM;0;1;23;Alliance
coL.swindlezz;compLexity Gaming;12;11;2,57;3,39;5,22;10;189,22;2,74;435;444;3;1;AM;0;0;23;compLexity Gaming
coL.Zfreek;compLexity Gaming;12;11;2,98;3,3;4,52;10,17;49,22;1,74;283;297;4;1;AM;0;0;23;compLexity Gaming
Alliance.Handsken;compLexity Gaming;12;11;2,58;2,65;4,61;9,26;39,57;3,39;268;279;5;1;AM;0;1;23;Alliance
DC.Resolut1on;Digital Chaos;33;14;6,11;7;2,6;8,85;307,6;11,11;594;542;1;1;AM;2;0;47;Digital Chaos
DC.w33;Digital Chaos;33;14;4,89;6,53;3,38;10,02;242,13;10,15;565;533;2;1;AM;2;0;47;Digital Chaos
coL.Moo;Digital Chaos;33;14;3,7;4,09;3,96;10,55;169,15;3,85;418;424;3;1;AM;2;1;47;compLexity Gaming
DC.MISERY;Digital Chaos;33;14;2,8;2,09;5,02;11,98;73,77;1,17;305;302;4;1;AM;2;0;47;Digital Chaos
DC.Saksa;Digital Chaos;33;14;3,28;2,94;4,55;12;62,7;2,66;301;295;5;1;AM;2;0;47;Digital Chaos
Pharah;DrinkingBoys;1;5;3,06;4,17;2,83;4,5;194,67;15,33;458;479;1;1;AM;0;0;6;DrinkingBoys
GetovaS-;DrinkingBoys;1;5;1,88;2,67;4,17;5,17;147,33;9,33;384;388;2;1;AM;0;0;6;DrinkingBoys
Mad;DrinkingBoys;1;5;2;1,83;4,17;6,5;121,17;1,33;354;372;3;1;AM;0;0;6;DrinkingBoys
BigBunTheory;DrinkingBoys;1;5;1,83;2;4,83;6,83;24,67;2,33;230;248;4;1;AM;0;0;6;DrinkingBoys
SHANKS;DrinkingBoys;1;5;1,28;1,67;6,5;6,67;38,33;0,33;229;240;5;1;AM;0;0;6;DrinkingBoys
Faceless.iceiceice;EHOME;31;14;5,5;6,93;3;9,58;361,27;11,42;621;533;1;1;CN;4;1;45;Team Faceless
EHOME.old chicken;EHOME;31;14;5,41;7,4;3,38;10,87;225,98;9,67;504;507;2;1;CN;4;0;45;EHOME
EHOME.old eleven;EHOME;31;14;3,33;4,89;4,91;11,47;169,56;6,42;414;457;3;1;CN;4;0;45;EHOME
EHOME.LaNm;EHOME;31;14;3,54;2,93;4,6;13,36;98,51;1,96;325;363;4;1;CN;4;0;45;EHOME
VG.J.Fenrir;EHOME;31;14;3,85;3,11;4,18;12,96;56,62;2,53;280;275;5;1;CN;4;1;45;Vici Gaming J
ESC.qojqva;Escape Gaming;19;27;5,14;5,2;2,48;7,54;333,48;9,52;590;519;1;1;EU;15;0;46;Escape Gaming
ESC.Era;Escape Gaming;19;27;3,68;6,2;3,63;7,15;277,83;9,8;520;482;2;1;EU;15;0;46;Escape Gaming
ESC.KheZzu;Escape Gaming;19;27;2,72;2,41;4,33;9,35;178,48;4,65;379;375;3;1;EU;15;0;46;Escape Gaming
ESC.YapzOr;Escape Gaming;19;27;2,97;2,98;4,5;10,39;59,33;1,17;272;295;4;1;EU;15;0;46;Escape Gaming
ESC.syndereN;Escape Gaming;19;27;1,99;1,41;5,39;9,3;45,93;2,85;236;244;5;1;EU;15;0;46;Escape Gaming
EG.Suma1L;Evil Geniuses;20;10;5,21;9,13;3,53;9,27;277,4;11,3;595;532;1;0;AM;3;0;30;Evil Geniuses
EG.Fear;Evil Geniuses;20;10;5,21;6,87;3,23;9,97;222,77;7,53;515;478;2;0;AM;3;1;30;None
EG.Universe;Evil Geniuses;20;10;5,54;4,23;3,17;13,3;132,37;3,37;386;401;3;0;AM;3;0;30;Evil Geniuses
EG.zai;Evil Geniuses;20;10;3,97;3,17;4,4;14,3;64,7;1,67;304;328;4;0;AM;3;0;30;Evil Geniuses
EG.ppd;Evil Geniuses;20;10;3,41;2,43;4,7;13,6;54,27;1,5;281;299;5;0;AM;3;1;30;None
XctN.Nando;Execration;15;13;2,92;5,89;4,36;6,82;353,68;15,29;627;544;1;1;SEA;0;1;28;None
